brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
30125.0,for_sale,110000.0,1,1,,709557.0,Glastonbury,Connecticut,06033,572.0,2005-05-20
33714.0,for_sale,459000.0,4,3,3.46,236252.0,East Hampton,Connecticut,06424,2726.0,2007-03-02
33714.0,for_sale,187500.0,2,1,,1763195.0,Haddam,Connecticut,06438,1180.0,2018-09-05
27653.0,for_sale,279900.0,3,3,0.35,1801711.0,New Britain,Connecticut,06053,1130.0,2007-01-09
23735.0,for_sale,375000.0,6,3,0.18,1105345.0,New Britain,Connecticut,06051,4193.0,2005-04-18
22611.0,for_sale,875000.0,4,5,0.79,142761.0,West Hartford,Connecticut,06117,3407.0,2016-06-16
108004.0,for_sale,325000.0,6,3,0.12,1286269.0,New Britain,Connecticut,06051,2722.0,
23952.0,for_sale,379000.0,3,3,0.19,482031.0,Meriden,Connecticut,06450,2100.0,2021-04-16
109280.0,for_sale,280000.0,3,1,0.41,1313811.0,Middletown,Connecticut,06457,1014.0,2021-11-08
22611.0,for_sale,439900.0,3,4,,1273338.0,West Hartford,Connecticut,06110,2016.0,2012-07-19
7877.0,for_sale,250000.0,3,2,10.14,718222.0,Marlboro,Vermont,05344,1712.0,
107912.0,for_sale,139000.0,2,2,,867508.0,Meriden,Connecticut,06450,960.0,1995-06-29
18229.0,for_sale,189000.0,3,1,0.16,1010395.0,Middletown,Connecticut,06457,1268.0,1989-09-27
106613.0,for_sale,130000.0,3,2,0.14,821817.0,New Britain,Connecticut,06051,1442.0,
51868.0,for_sale,190000.0,4,2,0.18,840973.0,New Britain,Connecticut,06051,1200.0,2006-07-31
51868.0,for_sale,175000.0,2,1,0.07,603983.0,Hartford,Connecticut,06106,850.0,
27439.0,for_sale,269000.0,5,4,0.22,1758132.0,Wilmington,Vermont,05363,2998.0,2014-05-30
21359.0,for_sale,284900.0,3,2,0.21,1716963.0,Meriden,Connecticut,06450,1449.0,2020-12-22
105067.0,for_sale,389900.0,4,2,0.24,1568486.0,West Hartford,Connecticut,06107,1656.0,
22611.0,for_sale,370000.0,4,4,0.74,1567813.0,Middlefield,Connecticut,06455,2074.0,2001-11-21
15520.0,for_sale,269900.0,6,3,0.2,870552.0,Hartford,Connecticut,06114,3554.0,
10193.0,for_sale,735000.0,4,2,10.19,991032.0,Wilmington,Vermont,05363,2446.0,2012-05-01
104256.0,for_sale,349900.0,4,4,0.11,1336441.0,Middletown,Connecticut,06457,2272.0,
22611.0,for_sale,115000.0,,,0.68,92193.0,Cromwell,Connecticut,06416,,
